song_id,artist,album,song,spotify_track_link,spotify_img_link,uri,timestamp,short_day,long_day,time_of_day,context_uri,context_link,context_name
49,Small Black,Cheap Dreams,Tampa,https://open.spotify.com/track/4GBPA0uFKv7TSZN5EPzK6D,https://i.scdn.co/image/ab67616d0000b2737c0af29493604e0324fffea3,spotify:track:4GBPA0uFKv7TSZN5EPzK6D,2021-12-21T15:28:06.989Z,12/21/2021,"Dec 21, 2021",15:28,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
50,Small Black,Cheap Dreams,Tampa,https://open.spotify.com/track/4GBPA0uFKv7TSZN5EPzK6D,https://i.scdn.co/image/ab67616d0000b2737c0af29493604e0324fffea3,spotify:track:4GBPA0uFKv7TSZN5EPzK6D,2021-12-21T15:26:32.013Z,12/21/2021,"Dec 21, 2021",15:26,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
51,Small Black,Cheap Dreams,Tampa,https://open.spotify.com/track/4GBPA0uFKv7TSZN5EPzK6D,https://i.scdn.co/image/ab67616d0000b2737c0af29493604e0324fffea3,spotify:track:4GBPA0uFKv7TSZN5EPzK6D,2021-12-21T15:25:22.003Z,12/21/2021,"Dec 21, 2021",15:25,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
52,Caroline Loveglow,Happy Happy,Happy Happy,https://open.spotify.com/track/7GeubHKoAibWy6Am3iAguN,https://i.scdn.co/image/ab67616d0000b2734f4b4623ea3f4905fd261034,spotify:track:7GeubHKoAibWy6Am3iAguN,2021-12-21T15:59:45.011Z,12/21/2021,"Dec 21, 2021",15:59,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
53,YG,4REAL 4REAL,"Go Loko (feat. Tyga, Jon Z)",https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,https://i.scdn.co/image/ab67616d0000b273c47a4334e09516587959e7ef,spotify:track:1kK6DwzyXJSp58u5HYWwuD,2021-12-21T16:14:42.371Z,12/21/2021,"Dec 21, 2021",16:14,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
54,Rae Sremmurd,SremmLife,Throw Sum Mo,https://open.spotify.com/track/5uqphUYsR45kPYplrYSAQh,https://i.scdn.co/image/ab67616d0000b2734ca3fb4517ff722918877460,spotify:track:5uqphUYsR45kPYplrYSAQh,2021-12-21T16:09:42.733Z,12/21/2021,"Dec 21, 2021",16:09,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
55,Travis Scott,Birds In The Trap Sing McKnight,beibs in the trap,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,spotify:track:0ESJlaM8CE1jRWaNtwSNj8,2021-12-21T16:05:21.723Z,12/21/2021,"Dec 21, 2021",16:05,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
56,Lil Uzi Vert,Lil Uzi Vert vs. The World,Money Longer,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,https://i.scdn.co/image/ab67616d0000b2738be07181aa935225a6f25d56,spotify:track:0B8QzDH7YWih85V5SEMnyJ,2021-12-21T16:29:52.462Z,12/21/2021,"Dec 21, 2021",16:29,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
57,Juice WRLD,Death Race For Love,Robbery,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,2021-12-21T16:26:07.394Z,12/21/2021,"Dec 21, 2021",16:26,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
58,Comethazine,Bawskee,Walk,https://open.spotify.com/track/0sVcnEo2jnUnr3p7uVDZ9o,https://i.scdn.co/image/ab67616d0000b273bd8ec1293ff1e0c0625fb5cb,spotify:track:0sVcnEo2jnUnr3p7uVDZ9o,2021-12-21T16:22:06.256Z,12/21/2021,"Dec 21, 2021",16:22,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
59,Lil Uzi Vert,Luv Is Rage 2,Dark Queen,https://open.spotify.com/track/2ZdCrBA52bb4pIG3tOOZiQ,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,spotify:track:2ZdCrBA52bb4pIG3tOOZiQ,2021-12-21T16:20:29.859Z,12/21/2021,"Dec 21, 2021",16:20,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
60,Offset,Without Warning,Ric Flair Drip (with Metro Boomin),https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed,spotify:track:7sO5G9EABYOXQKNPNiE9NR,2021-12-21T16:17:36.130Z,12/21/2021,"Dec 21, 2021",16:17,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
61,Kodak Black,Painting Pictures,Up in Here,https://open.spotify.com/track/4rcDP7pcJ9TN3LDeFSfUav,https://i.scdn.co/image/ab67616d0000b2731541a676423805fc68ff3e66,spotify:track:4rcDP7pcJ9TN3LDeFSfUav,2021-12-21T16:42:47.021Z,12/21/2021,"Dec 21, 2021",16:42,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
62,Tyga,Goddamn (feat. A Boogie wit da Hoodie),Goddamn (feat. A Boogie wit da Hoodie),https://open.spotify.com/track/0Zl4G9qcdXV5hVhdOirNHG,https://i.scdn.co/image/ab67616d0000b273cfaa1b0299167db1016c0256,spotify:track:0Zl4G9qcdXV5hVhdOirNHG,2021-12-21T16:39:50.604Z,12/21/2021,"Dec 21, 2021",16:39,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
63,Young Thug,Beautiful Thugger Girls,Me or Us,https://open.spotify.com/track/0JaN65P0DapRjboDEv2g08,https://i.scdn.co/image/ab67616d0000b273419cedff7b313b962a93932e,spotify:track:0JaN65P0DapRjboDEv2g08,2021-12-21T16:36:19.728Z,12/21/2021,"Dec 21, 2021",16:36,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
64,Lil Uzi Vert,The Perfect LUV Tape,Erase Your Social,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN,https://i.scdn.co/image/ab67616d0000b2732143db1c88358d70dd898aa3,spotify:track:4uhvMW7ly7tJil31YYscAN,2021-12-21T16:33:13.175Z,12/21/2021,"Dec 21, 2021",16:33,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
67,Flume,Skin,Say It (feat. Tove Lo),https://open.spotify.com/track/5aOpzm8W8zysk4asB9hxJw,https://i.scdn.co/image/ab67616d0000b273750d4a1b362296d1b815a223,spotify:track:5aOpzm8W8zysk4asB9hxJw,2021-12-21T17:50:02.863Z,12/21/2021,"Dec 21, 2021",17:50,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
68,Lady Gaga,ARTPOP,Applause,https://open.spotify.com/track/5ka2ajep9OAvU5Sgduhiex,https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522,spotify:track:5ka2ajep9OAvU5Sgduhiex,2021-12-21T22:43:04.587Z,12/21/2021,"Dec 21, 2021",22:43,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
